CompositeKey,Project,MethodIndex,MethodName,MethodLength,EditDensity,AveUseDefDist,AveUseDefDist/MethodLength,MedDefUseDist,MedUseDefDist/MethodLength,CountLine,CompiledLine,PassedLine,CountStat,CompiledStat,PassedStat,PropLineCompiled,PropLinePassed,PropStatCompiled,PropStatPassed,cyclomatic,ncss,npath,cyc/length,ncss/length,npath/length,InstCoverage-missed,InstCoverage-covered,InstCoverage
opennlp33,opennlp,33,opennlp.tools.ml.naivebayes.LogProbabilities.Double>normalize(),0,55,0,0,0,0,55,6,4,55,18,13,0.109090909,0.072727273,0.327272727,0.236363636,11,24,128,0,0,0,0,119,1
opennlp38,opennlp,38,opennlp.tools.ml.maxent.quasinewton.ArrayMath.logSumOfExps(double[]),0,39,0,0,0,0,39,6,6,39,12,10,0.153846154,0.153846154,0.307692308,0.256410256,3,7,3,0,0,0,0,33,1
opennlp4,opennlp,4,"opennlp.tools.ml.model.TwoPassDataIndexer.index(int,ObjectStream<Event>,Map<String,Integer>)",0,50,0,0,0,0,50,6,2,50,11,4,0.12,0.04,0.22,0.08,7,31,19,0,0,0,0,137,1
opennlp43,opennlp,43,"opennlp.tools.ml.maxent.quasinewton.LineSearch.doConstrainedLineSearch(Function,double[],LineSearchResult,double,double)",0,40,0,0,0,0,40,4,1,40,13,10,0.1,0.025,0.325,0.25,9,31,75,0,0,0,0,162,1
opennlp44,opennlp,44,"opennlp.tools.ml.maxent.quasinewton.ArrayMath.innerProduct(double[],double[])",0,47,0,0,0,0,47,8,6,47,13,9,0.170212766,0.127659574,0.276595745,0.191489362,5,7,8,0,0,0,2,31,0.939393939
opennlp45,opennlp,45,"opennlp.tools.formats.ad.ADNameSampleStream.processLeaf(Leaf,List<String>,List<Span>)",0,44,0,0,0,0,44,4,3,44,16,6,0.090909091,0.068181818,0.363636364,0.136363636,14,38,864,0,0,0,0,152,1
opennlp5,opennlp,5,"opennlp.tools.ml.model.TwoPassDataIndexer.computeEventCounts(ObjectStream<Event>,Writer,Map<String,Integer>,int)",0,48,0,0,0,0,48,8,4,48,18,11,0.166666667,0.083333333,0.375,0.229166667,3,18,4,0,0,0,0,68,1
opennlp59,opennlp,59,opennlp.tools.ml.maxent.quasinewton.ArrayMath.l1norm(double[]),0,42,0,0,0,0,42,4,4,42,8,7,0.095238095,0.095238095,0.19047619,0.166666667,2,5,2,0,0,0,0,19,1
opennlp62,opennlp,62,opennlp.tools.ml.perceptron.PerceptronTrainer.maxIndex(double[]),0,53,0,0,0,0,53,6,0,53,22,12,0.113207547,0,0.41509434,0.226415094,3,6,3,0,0,0,0,22,1
opennlp68,opennlp,68,"opennlp.tools.ml.TrainerFactory.getEventTrainer(Map<String,String>,Map<String,String>)",0,67,0,0,0,0,67,10,9,67,11,7,0.149253731,0.134328358,0.164179104,0.104477612,3,15,3,0,0,0,11,34,0.755555556
